Day,Plays,TrackId,StationId
2019-01-01,0,XKZP52532633881334,VPPK90689715448404
2019-05-13,1,XKZP52532633881334,VPPK90689715448404
2019-05-07,1,XKZP52532633881334,VPPK90689715448404
2019-02-25,1,XKZP52532633881334,VPPK90689715448404
2019-05-22,1,XKZP52532633881334,VPPK90689715448404
2019-01-09,2,XKZP52532633881334,VPPK90689715448404
2019-04-21,1,XKZP52532633881334,VPPK90689715448404
2019-04-28,1,XKZP52532633881334,VPPK90689715448404
2019-02-10,1,XKZP52532633881334,VPPK90689715448404
2019-05-03,1,XKZP52532633881334,VPPK90689715448404
2019-05-19,1,XKZP52532633881334,VPPK90689715448404
2019-05-26,1,XKZP52532633881334,ZZEY47206033691976
2019-02-25,1,XKZP52532633881334,ZZEY47206033691976
2019-05-22,1,XKZP52532633881334,ZZEY47206033691976
2019-02-10,1,XKZP52532633881334,ZZEY47206033691976
2019-05-13,1,XKZP52532633881334,ZZEY47206033691976
2019-05-03,1,XKZP52532633881334,ZZEY47206033691976
2019-04-28,1,XKZP52532633881334,ZZEY47206033691976
2019-04-26,1,XKZP52532633881334,ZZEY47206033691976
2019-05-07,1,XKZP52532633881334,ZZEY47206033691976
2019-01-09,1,XKZP52532633881334,ZZEY47206033691976
2019-04-21,1,XKZP52532633881334,ZZEY47206033691976
2019-05-19,1,XKZP52532633881334,ZZEY47206033691976
2019-05-05,1,XKZP52532633881334,ZZEY47206033691976
2020-09-08,1,XKZP52532633881334,VYNT33486116997631
2020-10-21,1,XKZP52532633881334,VYNT33486116997631
2020-12-20,1,XKZP52532633881334,VYNT33486116997631
2020-08-02,1,XKZP52532633881334,VYNT33486116997631
2020-09-15,1,XKZP52532633881334,VYNT33486116997631
2020-11-27,1,XKZP52532633881334,VYNT33486116997631
2020-10-14,1,XKZP52532633881334,VYNT33486116997631
2020-09-06,1,XKZP52532633881334,VYNT33486116997631
2020-02-08,1,XKZP52532633881334,VYNT33486116997631
2020-08-05,1,XKZP52532633881334,VYNT33486116997631
2020-11-21,1,XKZP52532633881334,VYNT33486116997631
2020-10-26,1,XKZP52532633881334,VYNT33486116997631
2020-07-29,1,XKZP52532633881334,VYNT33486116997631
2020-08-14,1,XKZP52532633881334,VYNT33486116997631
2020-11-25,1,XKZP52532633881334,VYNT33486116997631
2020-08-25,1,XKZP52532633881334,VYNT33486116997631
2020-10-03,1,XKZP52532633881334,VYNT33486116997631
2020-05-01,1,XKZP52532633881334,VYNT33486116997631
2020-09-25,1,XKZP52532633881334,VYNT33486116997631
2020-10-07,1,XKZP52532633881334,VYNT33486116997631
2020-09-28,1,XKZP52532633881334,VYNT33486116997631
2020-08-15,2,XKZP52532633881334,VYNT33486116997631
2020-09-02,2,XKZP52532633881334,VYNT33486116997631
2020-11-09,2,XKZP52532633881334,VYNT33486116997631
2020-12-31,2,XKZP52532633881334,VYNT33486116997631
2020-08-12,2,XKZP52532633881334,VYNT33486116997631
2019-09-06,1,XKZP52532633881334,VYNT33486116997631
2019-04-06,2,XKZP52532633881334,VYNT33486116997631
2019-05-27,1,XKZP52532633881334,NRCC47207208286024
2019-06-11,1,XKZP52532633881334,NRCC47207208286024
2019-08-10,1,XKZP52532633881334,NRCC47207208286024
2019-06-16,1,XKZP52532633881334,NRCC47207208286024
2019-06-06,1,XKZP52532633881334,NRCC47207208286024
2019-06-13,1,XKZP52532633881334,NRCC47207208286024
2019-06-12,1,XKZP52532633881334,NRCC47207208286024
2019-05-28,1,XKZP52532633881334,NRCC47207208286024
2019-06-19,1,XKZP52532633881334,NRCC47207208286024
2020-07-27,1,XKZP52532633881334,DZWO96765061959145
2020-07-27,1,XKZP52532633881334,SNVE81198784313181
2020-12-31,1,XKZP52532633881334,SMCH73113678658837
2020-12-31,1,XKZP52532633881334,IYTW90732900699791
2020-12-31,1,XKZP52532633881334,DZWO96765061959145
2020-07-27,1,XKZP52532633881334,CSBU49796496681519
2020-07-27,1,XKZP52532633881334,SMCH73113678658837
2020-07-27,1,XKZP52532633881334,IYTW90732900699791
2020-12-31,1,XKZP52532633881334,CSBU49796496681519
2020-12-31,1,XKZP52532633881334,CSOX59420291585705
2020-07-27,1,XKZP52532633881334,CSOX59420291585705
2019-12-20,1,XKZP52532633881334,YWDD59300413218151
2019-06-20,1,XKZP52532633881334,YWDD59300413218151
2019-01-17,1,XKZP52532633881334,YWDD59300413218151
2019-09-29,1,XKZP52532633881334,YWDD59300413218151
2019-01-10,1,XKZP52532633881334,YWDD59300413218151
2019-08-14,1,XKZP52532633881334,YWDD59300413218151
2019-02-01,1,XKZP52532633881334,YWDD59300413218151
2019-01-29,1,XKZP52532633881334,YWDD59300413218151
2019-08-05,1,XKZP52532633881334,YWDD59300413218151
2019-07-22,1,XKZP52532633881334,YWDD59300413218151
2019-10-15,1,XKZP52532633881334,YWDD59300413218151
2019-11-13,1,XKZP52532633881334,YWDD59300413218151
2019-04-05,1,XKZP52532633881334,YWDD59300413218151
2019-09-18,1,XKZP52532633881334,YWDD59300413218151
2019-08-21,1,XKZP52532633881334,YWDD59300413218151
2019-09-23,1,XKZP52532633881334,YWDD59300413218151
2019-06-18,1,XKZP52532633881334,YWDD59300413218151
2019-09-24,1,XKZP52532633881334,YWDD59300413218151
2019-10-24,1,XKZP52532633881334,YWDD59300413218151
2019-01-08,1,XKZP52532633881334,YWDD59300413218151
2019-08-31,1,XKZP52532633881334,YWDD59300413218151
2019-10-10,1,XKZP52532633881334,YWDD59300413218151
2019-07-07,1,XKZP52532633881334,YWDD59300413218151
2019-08-23,1,XKZP52532633881334,YWDD59300413218151
2019-10-31,1,XKZP52532633881334,YWDD59300413218151
2019-07-13,1,XKZP52532633881334,YWDD59300413218151
2019-02-28,1,XKZP52532633881334,YWDD59300413218151
2019-11-25,1,XKZP52532633881334,YWDD59300413218151
2019-07-18,1,XKZP52532633881334,YWDD59300413218151
2019-09-21,1,XKZP52532633881334,YWDD59300413218151
2019-11-08,1,XKZP52532633881334,YWDD59300413218151
2019-01-27,1,XKZP52532633881334,YWDD59300413218151
2019-04-08,1,XKZP52532633881334,YWDD59300413218151
2019-05-25,1,XKZP52532633881334,YWDD59300413218151
2019-04-22,1,XKZP52532633881334,YWDD59300413218151
2019-08-12,1,XKZP52532633881334,YWDD59300413218151
2019-07-04,1,XKZP52532633881334,YWDD59300413218151
2019-02-02,1,XKZP52532633881334,YWDD59300413218151
